21/11/2019;17:39:36;"	uAAL log started"
21/11/2019;17:39:39;"	CLIENT CKB connected + "
21/11/2019;17:40:16;"	CLIENT CAHRIM connected + "
21/11/2019;17:40:16;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:40:16.000)(gpos -0.00 0.00 0.00)(spos ""n/a"")(act {})}]"
21/11/2019;17:40:17;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:40:16.000)(gpos 0.00 0.00 -0.00)(spos ""n/a"")(act {})}]"
21/11/2019;17:40:54;"	INCOMING MESSAGE from CKB: publish#D7.2#chitchat:start"
21/11/2019;17:40:54;"	OUTCOMING MESSAGE to CAHRIM: subscribed#D7.2#chitchat:start"
21/11/2019;17:40:55;"	CLIENT CSPEM connected + "
21/11/2019;17:40:55;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:40:16.000)(gpos -0.00 0.00 0.00)(spos ""n/a"")(act {})}]"
21/11/2019;17:40:56;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:40:17.000)(gpos 0.00 0.00 -0.00)(spos ""n/a"")(act {})}]"
21/11/2019;17:40:56;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:40:16.000)(gpos 0.00 0.00 -0.00)(spos ""n/a"")(act {})}]"
21/11/2019;17:40:56;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:40:55.000)(gpos 0.00 0.00 -0.00)(spos ""n/a"")(act {})}]"
21/11/2019;17:40:56;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:40:17.000)(gpos 0.00 0.00 -0.00)(spos ""n/a"")(act {})}]"
21/11/2019;17:40:56;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:40:55.000)(gpos 0.00 0.00 -0.00)(spos ""n/a"")(act {})}]"
21/11/2019;17:40:56;"	INCOMING MESSAGE from CSPEM: request#D1.1"
21/11/2019;17:40:56;"	OUTCOMING MESSAGE to CKB: requested#D1.1"
