21/11/2019;17:49:41;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:40.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(10 Running)})}]"
21/11/2019;17:49:41;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:41.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(10 Running)})}]"
21/11/2019;17:49:41;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:41.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(10 Running)})}]"
21/11/2019;17:49:42;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:41.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(10 Running)})}]"
21/11/2019;17:49:42;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:41.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(10 Running)})}]"
21/11/2019;17:49:42;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:42.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(10 Running)})}]"
21/11/2019;17:49:42;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:42.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(10 Running)})}]"
21/11/2019;17:49:43;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:42.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(10 Running)})}]"
21/11/2019;17:49:43;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:42.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(10 Running)})}]"
21/11/2019;17:49:43;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:43.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(10 Running)})}]"
21/11/2019;17:49:43;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:43.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(10 Running)})}]"
21/11/2019;17:49:44;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:43.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(10 Running)})}]"
21/11/2019;17:49:44;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:43.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(10 Running)})}]"
21/11/2019;17:49:44;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:44.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(10 Running)})}]"
21/11/2019;17:49:44;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:44.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(10 Running)})}]"
21/11/2019;17:49:45;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:44.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(10 Running)})}]"
21/11/2019;17:49:45;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:44.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(10 Running)})}]"
21/11/2019;17:49:45;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:45.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(10 Running)})}]"
21/11/2019;17:49:45;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:45.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(10 Running)})}]"
21/11/2019;17:49:46;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:45.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(10 Running)})}]"
21/11/2019;17:49:46;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:45.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(10 Running)})}]"
21/11/2019;17:49:46;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:46.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(10 Running)})}]"
21/11/2019;17:49:46;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:46.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(10 Running)})}]"
21/11/2019;17:49:47;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:46.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(10 Running)})}]"
21/11/2019;17:49:47;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:46.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(10 Running)})}]"
21/11/2019;17:49:47;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:47.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(10 Running)})}]"
21/11/2019;17:49:47;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:47.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(10 Running)})}]"
21/11/2019;17:49:48;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:47.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(10 Running)})}]"
21/11/2019;17:49:48;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:47.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(10 Running)})}]"
21/11/2019;17:49:48;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:48.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(10 Running)})}]"
21/11/2019;17:49:48;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:48.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(10 Running)})}]"
21/11/2019;17:49:49;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:48.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(10 Running)})}]"
21/11/2019;17:49:49;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:48.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(10 Running)})}]"
21/11/2019;17:49:49;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:49.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(10 Running)})}]"
21/11/2019;17:49:49;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:49.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(10 Running)})}]"
21/11/2019;17:49:50;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:49.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(10 Running)})}]"
21/11/2019;17:49:50;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:49.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(10 Running)})}]"
21/11/2019;17:49:50;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:50.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(10 Running)})}]"
21/11/2019;17:49:50;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:50.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(10 Running)})}]"
21/11/2019;17:49:51;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:50.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(10 Running)})}]"
21/11/2019;17:49:51;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:50.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(10 Running)})}]"
21/11/2019;17:49:51;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:51.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(10 Running)})}]"
21/11/2019;17:49:51;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:51.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(10 Running)})}]"
21/11/2019;17:49:52;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:51.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(10 Running)})}]"
21/11/2019;17:49:52;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:51.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(10 Running)})}]"
21/11/2019;17:49:52;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:52.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(10 Running)})}]"
21/11/2019;17:49:52;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:52.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(10 Running)})}]"
21/11/2019;17:49:53;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:52.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(10 Running)})}]"
21/11/2019;17:49:53;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:52.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(10 Running)})}]"
21/11/2019;17:49:53;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:53.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(10 Running)})}]"
21/11/2019;17:49:53;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:53.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(10 Running)})}]"
21/11/2019;17:49:54;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:53.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(10 Running)})}]"
21/11/2019;17:49:54;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:53.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(10 Running)})}]"
21/11/2019;17:49:54;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:54.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(10 Running)})}]"
21/11/2019;17:49:54;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:54.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(10 Running)})}]"
21/11/2019;17:49:55;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:54.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(10 Running)})}]"
21/11/2019;17:49:55;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:54.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(10 Running)})}]"
21/11/2019;17:49:55;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:55.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(10 Running)})}]"
21/11/2019;17:49:55;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:55.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(10 Running)})}]"
21/11/2019;17:49:55;"	INCOMING MESSAGE from CAHRIM: publish#D6.2#[(robot-at pepper-1):precharger]"
21/11/2019;17:49:55;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.2#[(robot-at pepper-1):precharger]"
21/11/2019;17:49:56;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:55.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(10 Running)})}]"
21/11/2019;17:49:56;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:55.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(10 Running)})}]"
21/11/2019;17:49:56;"	INCOMING MESSAGE from CAHRIM: publish#D5.1#[(:goal(?G1 (robot-at pepper-1) ""n/a""))]"
21/11/2019;17:49:56;"	OUTCOMING MESSAGE to CKB: subscribed#D5.1#[(:goal(?G1 (robot-at pepper-1) ""n/a""))]"
21/11/2019;17:49:56;"	OUTCOMING MESSAGE to CSPEM: subscribed#D5.1#[(:goal(?G1 (robot-at pepper-1) ""n/a""))]"
21/11/2019;17:49:56;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:56.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(10 Finished)})}]"
21/11/2019;17:49:56;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:56.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(10 Finished)})}]"
21/11/2019;17:49:57;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:56.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {})}]"
21/11/2019;17:49:57;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:56.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {})}]"
21/11/2019;17:49:57;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:57.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {})}]"
21/11/2019;17:49:57;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:57.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {})}]"
21/11/2019;17:49:58;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:57.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {})}]"
21/11/2019;17:49:58;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:57.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {})}]"
21/11/2019;17:49:58;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:58.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {})}]"
21/11/2019;17:49:58;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:58.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {})}]"
21/11/2019;17:49:58;"	INCOMING MESSAGE from CSPEM: publish#D7.1#[{(id 12) (type GoTo) (robot pepper-1) (apar map.json ""n/a"") (cpar 0.7 80 1.0 english Human door&&bed&&window&&charger)}]"
21/11/2019;17:49:58;"	OUTCOMING MESSAGE to CAHRIM: subscribed#D7.1#[{(id 12) (type GoTo) (robot pepper-1) (apar map.json ""n/a"") (cpar 0.7 80 1.0 english Human door&&bed&&window&&charger)}]"
21/11/2019;17:49:59;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:58.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {})}]"
21/11/2019;17:49:59;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:58.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {})}]"
21/11/2019;17:49:59;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:59.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(12 Running)})}]"
21/11/2019;17:49:59;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:59.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(12 Running)})}]"
21/11/2019;17:50:00;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:59.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(12 Running)})}]"
21/11/2019;17:50:00;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:49:59.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(12 Running)})}]"
21/11/2019;17:50:00;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:50:00.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(12 Running)})}]"
21/11/2019;17:50:00;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:50:00.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(12 Running)})}]"
21/11/2019;17:50:01;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:50:00.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(12 Running)})}]"
21/11/2019;17:50:01;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:50:00.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(12 Running)})}]"
21/11/2019;17:50:01;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:50:01.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(12 Running)})}]"
21/11/2019;17:50:01;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:50:01.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(12 Running)})}]"
21/11/2019;17:50:02;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:50:01.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(12 Running)})}]"
21/11/2019;17:50:02;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:50:01.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(12 Running)})}]"
21/11/2019;17:50:02;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:50:02.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(12 Running)})}]"
21/11/2019;17:50:02;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:50:02.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(12 Running)})}]"
21/11/2019;17:50:03;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:50:02.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(12 Running)})}]"
21/11/2019;17:50:03;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:50:02.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(12 Running)})}]"
21/11/2019;17:50:03;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:50:03.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(12 Running)})}]"
21/11/2019;17:50:03;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:50:03.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(12 Running)})}]"
21/11/2019;17:50:04;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:50:03.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(12 Running)})}]"
21/11/2019;17:50:04;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:50:03.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(12 Running)})}]"
21/11/2019;17:50:04;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:50:04.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(12 Running)})}]"
21/11/2019;17:50:04;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:50:04.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(12 Running)})}]"
21/11/2019;17:50:05;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:50:04.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(12 Running)})}]"
21/11/2019;17:50:05;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:50:04.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(12 Running)})}]"
21/11/2019;17:50:05;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:50:05.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(12 Running)})}]"
21/11/2019;17:50:05;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:50:05.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(12 Running)})}]"
21/11/2019;17:50:06;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:50:05.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(12 Running)})}]"
21/11/2019;17:50:06;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:50:05.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(12 Running)})}]"
21/11/2019;17:50:06;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:50:06.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(12 Running)})}]"
21/11/2019;17:50:06;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:50:06.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(12 Running)})}]"
21/11/2019;17:50:07;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:50:06.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(12 Running)})}]"
21/11/2019;17:50:07;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:50:06.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(12 Running)})}]"
21/11/2019;17:50:07;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:50:07.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(12 Running)})}]"
21/11/2019;17:50:07;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:50:07.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(12 Running)})}]"
21/11/2019;17:50:08;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:50:07.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(12 Running)})}]"
21/11/2019;17:50:08;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:50:07.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(12 Running)})}]"
21/11/2019;17:50:08;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:50:08.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(12 Running)})}]"
21/11/2019;17:50:08;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:50:08.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(12 Running)})}]"
21/11/2019;17:50:09;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:50:08.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(12 Running)})}]"
21/11/2019;17:50:09;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:50:08.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(12 Running)})}]"
21/11/2019;17:50:09;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:50:09.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(12 Running)})}]"
21/11/2019;17:50:09;"	OUTCOMING MESSAGE to CSPEM: subscribed#D6.3#[{(robot pepper-1)(time 2019-11-21 17:50:09.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(12 Running)})}]"
21/11/2019;17:50:10;"	INCOMING MESSAGE from CAHRIM: publish#D6.3#[{(robot pepper-1)(time 2019-11-21 17:50:09.000)(gpos 1.20 -0.00 -0.09)(spos ""n/a"")(act {(12 Running)})}]"
