04/12/2019;14:31:13.165;[CAHRIM.SocketHandlers.MsgSender         ];-    DEBUG:;"Sent message: publish#D6.3#[{(robot pepper-1)(time 2019-12-04 14:31:13.000)(gpos 1.10 0.00 0.05)(spos ""n/a"")(act {(2 Running)})}]"
04/12/2019;14:31:13.674;[CAHRIM.SocketHandlers.MsgSender         ];-    DEBUG:;"Sent message: publish#D6.3#[{(robot pepper-1)(time 2019-12-04 14:31:13.000)(gpos 1.17 0.00 0.05)(spos ""n/a"")(act {(2 Running)})}]"
04/12/2019;14:31:14.183;[CAHRIM.SocketHandlers.MsgSender         ];-    DEBUG:;"Sent message: publish#D6.3#[{(robot pepper-1)(time 2019-12-04 14:31:14.000)(gpos 1.20 0.00 0.06)(spos ""n/a"")(act {(2 Running)})}]"
04/12/2019;14:31:14.484;[CAHRIM.Executor.GoTo                    ];-     INFO:;Path to final goal: bed
04/12/2019;14:31:14.690;[CAHRIM.SocketHandlers.MsgSender         ];-    DEBUG:;"Sent message: publish#D6.3#[{(robot pepper-1)(time 2019-12-04 14:31:14.000)(gpos 1.20 -0.00 -0.02)(spos ""n/a"")(act {(2 Running)})}]"
04/12/2019;14:31:15.200;[CAHRIM.SocketHandlers.MsgSender         ];-    DEBUG:;"Sent message: publish#D6.3#[{(robot pepper-1)(time 2019-12-04 14:31:15.000)(gpos 1.20 -0.00 -0.00)(spos ""n/a"")(act {(2 Running)})}]"
04/12/2019;14:31:15.661;[CAHRIM.SocketHandlers.MsgSender         ];-    DEBUG:;"Sent message: publish#D6.3#[{(robot pepper-1)(time 2019-12-04 14:31:15.000)(gpos 1.20 -0.00 -0.01)(spos ""n/a"")(act {(2 Running)})}]"
04/12/2019;14:31:16.055;[CAHRIM.Executor.GoTo                    ];-     INFO:;Final goal reached!
04/12/2019;14:31:16.056;[CAHRIM.ActuationHub.Executor            ];-     INFO:;Action FINISHED:    2, GoTo
04/12/2019;14:31:16.068;[CAHRIM.SocketHandlers.MsgSender         ];-    DEBUG:;Sent message: publish#D5.1#[(:goal(?G1 move-closer-farther true)(?G2 accept-request true))(:temporal (before ?G1 ?G2 [1500 inf]))]
04/12/2019;14:31:16.171;[CAHRIM.SocketHandlers.MsgSender         ];-    DEBUG:;"Sent message: publish#D6.3#[{(robot pepper-1)(time 2019-12-04 14:31:16.000)(gpos 1.20 -0.00 -0.01)(spos ""n/a"")(act {(2 Finished)})}]"
