03/12/2019;10:39:10.990;[CAHRIM                                  ];-     INFO:;Starting CAHRIM in Experimental mode
03/12/2019;10:39:33.062;[CAHRIM                                  ];-     INFO:;Socket communication with uAAL-CAHRIM started.
03/12/2019;10:39:33.075;[CAHRIM.SensoryHub.OdomConverter         ];-     INFO:;Starting pose at node: charger
03/12/2019;10:39:33.273;[CAHRIM.SocketHandlers.MsgReceiver       ];-    DEBUG:;Received message: subscribed#D7.1#[{(id 2) (type GoTo) (robot pepper-1) (apar map.json bed) (cpar 0.7 80 1.0 english MisterUser bed&&door&&window&&charger)}]
03/12/2019;10:39:33.273;[CAHRIM                                  ];-     INFO:;Message Receiver started.
03/12/2019;10:39:33.278;[CAHRIM                                  ];-     INFO:;Message Sender started.
03/12/2019;10:39:33.279;[CAHRIM.ActuationHub.Executor            ];-     INFO:;Action received:    2, GoTo, [map.json bed], [0.7 80 1.0 english MisterUser bed&&door&&window&&charger]
03/12/2019;10:39:33.289;[CAHRIM                                  ];-     INFO:;Actuation Hub - State Observer started.
03/12/2019;10:39:33.292;[CAHRIM                                  ];-     INFO:;Sensory Hub - Odom Converter started.
03/12/2019;10:39:33.292;[CAHRIM                                  ];-     INFO:;Sensory Hub - User Detection Depth started.
03/12/2019;10:39:33.710;[CAHRIM.SocketHandlers.MsgReceiver       ];-    DEBUG:;Received message: subscribed#D7.2#chitchat:start
03/12/2019;10:39:33.710;[CAHRIM.ActuationHub.Executor            ];-     INFO:;Action RUNNING:     2, GoTo
03/12/2019;10:39:33.835;[CAHRIM.SocketHandlers.MsgSender         ];-    DEBUG:;"Sent message: publish#D6.3#[{(robot pepper-1)(time 2019-12-03 10:39:33.000)(gpos -0.00 0.00 0.00)(spos ""n/a"")(act {(2 Running)})}]"
03/12/2019;10:39:34.292;[CAHRIM.SocketHandlers.MsgSender         ];-    DEBUG:;"Sent message: publish#D6.3#[{(robot pepper-1)(time 2019-12-03 10:39:34.000)(gpos 0.00 0.00 -0.00)(spos ""n/a"")(act {(2 Running)})}]"
03/12/2019;10:39:34.802;[CAHRIM.SocketHandlers.MsgSender         ];-    DEBUG:;"Sent message: publish#D6.3#[{(robot pepper-1)(time 2019-12-03 10:39:34.000)(gpos 0.00 0.00 -0.00)(spos ""n/a"")(act {(2 Running)})}]"
03/12/2019;10:39:35.309;[CAHRIM.SocketHandlers.MsgSender         ];-    DEBUG:;"Sent message: publish#D6.3#[{(robot pepper-1)(time 2019-12-03 10:39:35.000)(gpos 0.00 0.00 -0.00)(spos ""n/a"")(act {(2 Running)})}]"
03/12/2019;10:39:35.819;[CAHRIM.SocketHandlers.MsgSender         ];-    DEBUG:;"Sent message: publish#D6.3#[{(robot pepper-1)(time 2019-12-03 10:39:35.000)(gpos 0.00 0.00 -0.00)(spos ""n/a"")(act {(2 Running)})}]"
03/12/2019;10:39:35.940;[CAHRIM.Executor.GoTo                    ];-     INFO:;Detected pose: (0, 0, -0)
03/12/2019;10:39:35.943;[CAHRIM.Executor.GoTo                    ];-     INFO:;Heading towards closest node in the graph: bed
